property,value
neurons,2040
directed_edges,126676
synapses,1054402
isolates,0
superclass_visual_projection,218
superclass_descending_neuron,1293
superclass_cb_intrinsic,529
consensus_nt_acetylcholine,1190
consensus_nt_gaba,343
consensus_nt_glutamate,393
consensus_nt_serotonin,8
consensus_nt_unclear,65
consensus_nt_dopamine,23
consensus_nt_octopamine,18
reachable_descending,1293
descending_at_1_hops,735
descending_at_2_hops,558
incoming_weight_retained,0.1505
outgoing_weight_retained,0.0712
