trial,task,condition,seed,episodes,source,after,sensory_noise_0.1,edge_ablation_0.1,neuron_ablation_0.1,before,random,heuristic,elapsed_seconds,rss_mb
catch-learning-0-200,catch,learning,0,200,,0.1333,0.1333,0.1333,0.1500,0.2333,0.2500,1.0000,20.43,155.5
catch-learning-1-200,catch,learning,1,200,,0.2417,0.2417,0.2583,0.2500,0.1333,0.1917,1.0000,20.32,148.9
catch-learning-2-200,catch,learning,2,200,,0.1500,0.1417,0.1417,0.1333,0.2000,0.1417,1.0000,21.04,106.9
catch-frozen-0-200,catch,frozen,0,200,,0.2333,0.2000,0.2333,0.2333,0.2333,0.2500,1.0000,10.90,130.4
catch-frozen-1-200,catch,frozen,1,200,,0.1333,0.2667,0.1417,0.1583,0.1333,0.1917,1.0000,11.43,100.0
catch-frozen-2-200,catch,frozen,2,200,,0.2000,0.2250,0.1917,0.2000,0.2000,0.1417,1.0000,11.07,132.0
catch-rewired-0-200,catch,rewired,0,200,,0.1417,0.1333,0.1417,0.1333,0.2667,0.2500,1.0000,28.69,123.8
catch-rewired-1-200,catch,rewired,1,200,,0.1917,0.2417,0.2000,0.2167,0.1417,0.1917,1.0000,28.24,121.5
catch-rewired-2-200,catch,rewired,2,200,,0.1417,0.1500,0.1500,0.1583,0.2000,0.1417,1.0000,26.29,119.5
catch-readout_only-0-200,catch,readout_only,0,200,,0.1417,0.1333,0.1417,0.1500,0.2333,0.2500,1.0000,11.82,97.2
catch-readout_only-1-200,catch,readout_only,1,200,,0.2000,0.2417,0.2083,0.2250,0.1333,0.1917,1.0000,11.17,101.8
catch-readout_only-2-200,catch,readout_only,2,200,,0.1500,0.1333,0.1500,0.1500,0.2000,0.1417,1.0000,11.18,138.1
catch-learning-0-100,catch,learning,0,100,,0.1333,0.1333,0.1500,0.1417,0.2333,0.2500,1.0000,13.49,99.6
catch-learning-1-100,catch,learning,1,100,,0.2250,0.2333,0.2167,0.2083,0.1333,0.1917,1.0000,12.88,142.2
catch-learning-2-100,catch,learning,2,100,,0.1917,0.2167,0.2250,0.1750,0.2000,0.1417,1.0000,12.76,134.9
catch-learning-0-200-from-dodge,catch,learning,0,200,dodge,0.2083,0.2167,0.2083,0.2083,0.2333,0.2500,1.0000,22.36,162.6
catch-learning-1-200-from-dodge,catch,learning,1,200,dodge,0.1917,0.1833,0.1917,0.2083,0.1333,0.1917,1.0000,22.74,117.6
catch-learning-2-200-from-dodge,catch,learning,2,200,dodge,0.2000,0.2250,0.1833,0.2167,0.2000,0.1417,1.0000,22.08,110.6
dodge-learning-0-200,dodge,learning,0,200,,0.7917,0.7833,0.7917,0.7917,0.7667,0.7500,1.0000,22.72,128.7
dodge-learning-1-200,dodge,learning,1,200,,0.8083,0.8000,0.8083,0.8083,0.8667,0.8083,1.0000,21.85,156.2
dodge-learning-2-200,dodge,learning,2,200,,0.7833,0.8000,0.7833,0.7750,0.8000,0.8583,1.0000,22.33,104.7
dodge-frozen-0-200,dodge,frozen,0,200,,0.7667,0.8000,0.7667,0.7667,0.7667,0.7500,1.0000,11.14,96.9
dodge-frozen-1-200,dodge,frozen,1,200,,0.8667,0.7333,0.8583,0.8417,0.8667,0.8083,1.0000,10.96,132.2
dodge-frozen-2-200,dodge,frozen,2,200,,0.8000,0.7750,0.8083,0.8000,0.8000,0.8583,1.0000,11.10,135.0
dodge-rewired-0-200,dodge,rewired,0,200,,0.8417,0.7500,0.8000,0.7917,0.7333,0.7500,1.0000,25.74,175.0
dodge-rewired-1-200,dodge,rewired,1,200,,0.8000,0.8250,0.8167,0.8083,0.8583,0.8083,1.0000,25.95,182.9
dodge-rewired-2-200,dodge,rewired,2,200,,0.8167,0.8083,0.8167,0.7583,0.8000,0.8583,1.0000,25.66,181.7
dodge-readout_only-0-200,dodge,readout_only,0,200,,0.8500,0.8667,0.8500,0.8333,0.7667,0.7500,1.0000,10.95,119.7
dodge-readout_only-1-200,dodge,readout_only,1,200,,0.8000,0.8167,0.7917,0.8000,0.8667,0.8083,1.0000,10.78,132.7
dodge-readout_only-2-200,dodge,readout_only,2,200,,0.8500,0.8583,0.8500,0.8500,0.8000,0.8583,1.0000,10.80,129.3
dodge-learning-0-100,dodge,learning,0,100,,0.7750,0.8083,0.7750,0.7750,0.7667,0.7500,1.0000,12.68,144.5
dodge-learning-1-100,dodge,learning,1,100,,0.8000,0.8167,0.8083,0.8083,0.8667,0.8083,1.0000,12.58,153.2
dodge-learning-2-100,dodge,learning,2,100,,0.8250,0.8000,0.8167,0.8000,0.8000,0.8583,1.0000,12.74,143.0
dodge-learning-0-200-from-catch,dodge,learning,0,200,catch,0.8667,0.8667,0.8583,0.8667,0.7667,0.7500,1.0000,21.52,159.6
dodge-learning-1-200-from-catch,dodge,learning,1,200,catch,0.8000,0.7833,0.8250,0.8250,0.8667,0.8083,1.0000,21.58,153.6
dodge-learning-2-200-from-catch,dodge,learning,2,200,catch,0.7917,0.8000,0.7917,0.7917,0.8000,0.8583,1.0000,21.60,151.6
