task,contrast,mean,seed_values,descriptive_bootstrap_95
catch,change_from_before,0.4555555555555555,"[0.41249999999999987, 0.3875, 0.5666666666666667]","[0.3875, 0.5666666666666667]"
catch,biological_minus_random,0.46388888888888885,"[0.42083333333333317, 0.4083333333333334, 0.5625]","[0.4083333333333334, 0.5625]"
catch,biological_minus_rewired,-0.15555555555555564,"[-0.3250000000000002, -0.12083333333333335, -0.02083333333333337]","[-0.3250000000000002, -0.02083333333333337]"
dodge,change_from_before,0.1319444444444445,"[0.12083333333333346, 0.12083333333333335, 0.15416666666666667]","[0.12083333333333335, 0.15416666666666667]"
dodge,biological_minus_random,0.12361111111111119,"[0.11250000000000004, 0.10000000000000009, 0.15833333333333344]","[0.10000000000000009, 0.15833333333333344]"
dodge,biological_minus_rewired,-0.011111111111111146,"[-0.07916666666666661, -0.025000000000000022, 0.07083333333333319]","[-0.07916666666666661, 0.07083333333333319]"
flappy,change_from_before,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0]"
flappy,biological_minus_random,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0]"
flappy,biological_minus_rewired,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0]"
pong,change_from_before,0.04907407407407407,"[0.002777777777777768, 0.05277777777777776, 0.09166666666666667]","[0.002777777777777768, 0.09166666666666667]"
pong,biological_minus_random,0.09722222222222222,"[0.04999999999999999, 0.10833333333333334, 0.13333333333333336]","[0.04999999999999999, 0.13333333333333336]"
pong,biological_minus_rewired,-0.1388888888888889,"[-0.25833333333333336, -0.1333333333333333, -0.025000000000000022]","[-0.25833333333333336, -0.025000000000000022]"
breakout,change_from_before,0.003333333333333318,"[0.0, 0.0, 0.009999999999999953]","[0.0, 0.009999999999999953]"
breakout,biological_minus_random,-0.09999999999999996,"[-0.09999999999999992, -0.09999999999999992, -0.10000000000000003]","[-0.10000000000000003, -0.09999999999999992]"
breakout,biological_minus_rewired,-0.03333333333333335,"[-0.10999999999999999, 0.0, 0.009999999999999953]","[-0.10999999999999999, 0.009999999999999953]"
snake,change_from_before,0.0375,"[0.03, 0.052500000000000005, 0.029999999999999995]","[0.029999999999999995, 0.05250000000000001]"
snake,biological_minus_random,0.017499999999999998,"[0.0, 0.0425, 0.009999999999999995]","[0.0, 0.0425]"
snake,biological_minus_rewired,-0.019166666666666665,"[-0.0049999999999999975, -0.0025000000000000022, -0.049999999999999996]","[-0.049999999999999996, -0.0025000000000000022]"
