task,condition,mean,seed_values,descriptive_bootstrap_95,change_from_intact
catch,after,0.6611111111111111,"[0.6333333333333332, 0.5916666666666667, 0.7583333333333333]","[0.5916666666666667, 0.7583333333333333]","{""mean"": 0.0, ""seed_values"": [0.0, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.0]}"
catch,sensory_noise,0.4527777777777778,"[0.4125, 0.4083333333333333, 0.5375]","[0.4083333333333334, 0.5375]","{""mean"": -0.2083333333333333, ""seed_values"": [-0.22083333333333321, -0.18333333333333335, -0.22083333333333333], ""descriptive_bootstrap_95"": [-0.22083333333333333, -0.18333333333333335]}"
catch,edge_ablation,0.6166666666666666,"[0.6041666666666666, 0.5, 0.7458333333333333]","[0.5, 0.7458333333333332]","{""mean"": -0.0444444444444444, ""seed_values"": [-0.029166666666666563, -0.09166666666666667, -0.012499999999999956], ""descriptive_bootstrap_95"": [-0.09166666666666667, -0.012499999999999956]}"
catch,neuron_ablation,0.32916666666666666,"[0.3833333333333333, 0.2583333333333333, 0.3458333333333333]","[0.2583333333333333, 0.3833333333333333]","{""mean"": -0.33194444444444443, ""seed_values"": [-0.2499999999999999, -0.33333333333333337, -0.4125], ""descriptive_bootstrap_95"": [-0.4124999999999999, -0.2499999999999999]}"
dodge,after,0.9263888888888889,"[0.9, 0.9166666666666667, 0.9625]","[0.9, 0.9625]","{""mean"": 0.0, ""seed_values"": [0.0, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.0]}"
dodge,sensory_noise,0.9138888888888889,"[0.9541666666666668, 0.875, 0.9125]","[0.875, 0.9541666666666669]","{""mean"": -0.012499999999999992, ""seed_values"": [0.05416666666666681, -0.04166666666666674, -0.050000000000000044], ""descriptive_bootstrap_95"": [-0.050000000000000044, 0.05416666666666681]}"
dodge,edge_ablation,0.9236111111111112,"[0.9, 0.9333333333333333, 0.9375]","[0.9, 0.9375]","{""mean"": -0.0027777777777778048, ""seed_values"": [0.0, 0.016666666666666607, -0.025000000000000022], ""descriptive_bootstrap_95"": [-0.025000000000000022, 0.016666666666666607]}"
dodge,neuron_ablation,0.9388888888888888,"[0.9083333333333332, 0.9875, 0.9208333333333334]","[0.9083333333333332, 0.9875000000000002]","{""mean"": 0.012499999999999956, ""seed_values"": [0.008333333333333193, 0.0708333333333333, -0.04166666666666663], ""descriptive_bootstrap_95"": [-0.04166666666666663, 0.0708333333333333]}"
flappy,after,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0]","{""mean"": 0.0, ""seed_values"": [0.0, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.0]}"
flappy,sensory_noise,0.001388888888888889,"[0.004166666666666667, 0.0, 0.0]","[0.0, 0.004166666666666667]","{""mean"": 0.001388888888888889, ""seed_values"": [0.004166666666666667, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.004166666666666667]}"
flappy,edge_ablation,0.004166666666666667,"[0.008333333333333333, 0.004166666666666667, 0.0]","[0.0, 0.008333333333333333]","{""mean"": 0.004166666666666667, ""seed_values"": [0.008333333333333333, 0.004166666666666667, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.008333333333333333]}"
flappy,neuron_ablation,0.016666666666666666,"[0.025, 0.020833333333333332, 0.004166666666666667]","[0.004166666666666667, 0.025000000000000005]","{""mean"": 0.016666666666666666, ""seed_values"": [0.025, 0.020833333333333332, 0.004166666666666667], ""descriptive_bootstrap_95"": [0.004166666666666667, 0.025000000000000005]}"
pong,after,0.3499999999999999,"[0.3083333333333333, 0.35, 0.39166666666666666]","[0.3083333333333333, 0.39166666666666666]","{""mean"": 0.0, ""seed_values"": [0.0, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.0]}"
pong,sensory_noise,0.35555555555555557,"[0.3111111111111111, 0.35, 0.40555555555555556]","[0.3111111111111111, 0.4055555555555556]","{""mean"": 0.005555555555555573, ""seed_values"": [0.0027777777777778234, 0.0, 0.013888888888888895], ""descriptive_bootstrap_95"": [0.0, 0.013888888888888895]}"
pong,edge_ablation,0.33981481481481485,"[0.32222222222222224, 0.3388888888888889, 0.35833333333333334]","[0.32222222222222224, 0.35833333333333334]","{""mean"": -0.01018518518518515, ""seed_values"": [0.01388888888888895, -0.011111111111111072, -0.033333333333333326], ""descriptive_bootstrap_95"": [-0.033333333333333326, 0.01388888888888895]}"
pong,neuron_ablation,0.3398148148148148,"[0.3277777777777778, 0.33611111111111114, 0.3555555555555555]","[0.3277777777777778, 0.35555555555555546]","{""mean"": -0.010185185185185167, ""seed_values"": [0.019444444444444486, -0.01388888888888884, -0.03611111111111115], ""descriptive_bootstrap_95"": [-0.03611111111111115, 0.019444444444444486]}"
breakout,after,0.36833333333333335,"[0.37, 0.37, 0.365]","[0.365, 0.36999999999999994]","{""mean"": 0.0, ""seed_values"": [0.0, 0.0, 0.0], ""descriptive_bootstrap_95"": [0.0, 0.0]}"
breakout,sensory_noise,0.3666666666666667,"[0.37, 0.37, 0.36]","[0.36000000000000004, 0.36999999999999994]","{""mean"": -0.001666666666666668, ""seed_values"": [0.0, 0.0, -0.0050000000000000044], ""descriptive_bootstrap_95"": [-0.0050000000000000044, 0.0]}"
breakout,edge_ablation,0.44166666666666665,"[0.485, 0.37, 0.47000000000000003]","[0.36999999999999994, 0.48500000000000004]","{""mean"": 0.07333333333333335, ""seed_values"": [0.11499999999999999, 0.0, 0.10500000000000004], ""descriptive_bootstrap_95"": [0.0, 0.11499999999999999]}"
