task,condition,mean,n_training_seeds,seed_0,seed_1,seed_2,descriptive_lower,descriptive_upper
catch,biological,0.6611111111111111,3,0.6333333333333332,0.5916666666666667,0.7583333333333333,0.5916666666666667,0.7583333333333333
catch,frozen,0.20555555555555552,3,0.2208333333333333,0.20416666666666666,0.19166666666666665,0.19166666666666665,0.2208333333333333
catch,rewired,0.8166666666666668,3,0.9583333333333334,0.7125,0.7791666666666667,0.7125,0.9583333333333334
catch,random,0.1972222222222222,3,0.2125,0.1833333333333333,0.1958333333333333,0.18333333333333326,0.2125
catch,heuristic,1.0,3,1.0,1.0,1.0,1.0,1.0
dodge,biological,0.9263888888888889,3,0.9,0.9166666666666667,0.9625,0.9,0.9625
dodge,frozen,0.7944444444444444,3,0.7791666666666666,0.7958333333333334,0.8083333333333333,0.7791666666666665,0.8083333333333332
dodge,rewired,0.9375,3,0.9791666666666666,0.9416666666666668,0.8916666666666668,0.8916666666666669,0.9791666666666666
dodge,random,0.8027777777777777,3,0.7875,0.8166666666666667,0.8041666666666666,0.7875,0.8166666666666668
dodge,heuristic,1.0,3,1.0,1.0,1.0,1.0,1.0
flappy,biological,0.0,3,0.0,0.0,0.0,0.0,0.0
flappy,frozen,0.0,3,0.0,0.0,0.0,0.0,0.0
flappy,rewired,0.0,3,0.0,0.0,0.0,0.0,0.0
flappy,random,0.0,3,0.0,0.0,0.0,0.0,0.0
flappy,heuristic,0.08749999999999998,3,0.09166666666666666,0.0875,0.08333333333333333,0.08333333333333333,0.09166666666666666
pong,biological,0.3499999999999999,3,0.3083333333333333,0.35,0.39166666666666666,0.3083333333333333,0.39166666666666666
pong,frozen,0.3009259259259259,3,0.3055555555555555,0.2972222222222222,0.3,0.2972222222222222,0.3055555555555555
pong,rewired,0.4888888888888889,3,0.5666666666666667,0.4833333333333333,0.4166666666666667,0.4166666666666667,0.5666666666666667
pong,random,0.25277777777777777,3,0.2583333333333333,0.24166666666666664,0.2583333333333333,0.2416666666666666,0.2583333333333333
pong,heuristic,1.0,3,1.0,1.0,1.0,1.0,1.0
breakout,biological,0.36833333333333335,3,0.37,0.37,0.365,0.365,0.36999999999999994
breakout,frozen,0.365,3,0.37,0.37,0.35500000000000004,0.35500000000000004,0.36999999999999994
breakout,rewired,0.40166666666666667,3,0.48,0.37,0.35500000000000004,0.35500000000000004,0.48
breakout,random,0.46833333333333327,3,0.4699999999999999,0.4699999999999999,0.465,0.465,0.4699999999999999
breakout,heuristic,0.6166666666666667,3,0.6,0.64,0.61,0.6,0.64
snake,biological,0.0425,3,0.04,0.052500000000000005,0.034999999999999996,0.034999999999999996,0.05250000000000001
snake,frozen,0.005,3,0.01,0.0,0.005,0.0,0.01
snake,rewired,0.06166666666666667,3,0.045,0.05500000000000001,0.08499999999999999,0.045000000000000005,0.085
snake,random,0.025000000000000005,3,0.04,0.01,0.025,0.01,0.04
snake,heuristic,0.9283333333333333,3,0.9625,0.9175000000000001,0.905,0.9049999999999999,0.9625
