task,condition,seed,graph_sha256,state_sha256,standardizer_sha256,activity_sha256,samples,training_samples,test_samples,participation_ratio,mean_pairwise_correlation,population_activity_variance,linear_probe_accuracy,majority_accuracy,correlation_neuron_indices,episode_seeds
flappy,biological,0,46d585dcb1cc34e77025541dd855b2d728ee4c42aa9c2e15712caf5ae1907c35,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,efdfc04db9d88c9cc2e29856462301ead918169db3e2c9524e1db575085068dc,af723b8ac4e6e495055e6754b7dce3aed30beb4dc929441294e10a89766b5975,330,173,157,19.55409990472354,0.19502281051392917,0.013161216503074759,0.9554140127388535,0.9554140127388535,"[0, 9, 19, 28, 38, 47, 57, 67, 77, 87, 97, 107, 117, 127, 137, 146, 156, 165, 175, 185, 195, 205, 214, 224, 235, 245, 254, 265, 275, 284, 294, 303, 313, 323, 334, 346, 357, 367, 376, 388, 397, 407, 418, 427, 437, 448, 458, 468, 480, 492, 502, 512, 522, 532, 542, 552, 562, 571, 583, 593, 603, 614, 624, 634, 646, 657, 666, 678, 690, 702, 715, 727, 737, 747, 760, 771, 780, 791, 800, 810, 819, 829, 839, 848, 858, 867, 877, 887, 897, 908, 919, 929, 939, 950, 961, 970, 981, 991, 1001, 1010, 1020, 1030, 1040, 1050, 1059, 1069, 1078, 1089, 1101, 1110, 1121, 1132, 1142, 1151, 1161, 1171, 1180, 1190, 1199, 1209, 1219, 1229, 1240, 1249, 1260, 1270, 1280, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
flappy,rewired,0,344a24cf5708ed2929983a637a5bcf29ea0f49a906b2a363cb664f1e5f376c7d,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,015e782774d8809a55911e4d66e49bc399c50abdd1d2646ccfefd07ab798fa18,2391d458ddb2dfc6d35cefd311db9a3e96aa37322439d8e96f9fdec7c909fb96,330,173,157,31.45223232604487,0.13454355737702842,0.01246565528731738,0.9554140127388535,0.9554140127388535,"[0, 9, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 283, 293, 304, 314, 324, 334, 345, 355, 365, 375, 385, 395, 406, 416, 426, 436, 446, 457, 468, 479, 489, 499, 509, 519, 530, 540, 550, 560, 570, 580, 590, 600, 610, 620, 630, 640, 651, 661, 671, 681, 691, 701, 711, 722, 732, 742, 753, 763, 773, 783, 794, 804, 814, 824, 834, 844, 854, 865, 875, 886, 896, 906, 916, 926, 937, 948, 958, 969, 979, 989, 999, 1010, 1020, 1030, 1040, 1050, 1060, 1070, 1080, 1091, 1101, 1111, 1121, 1131, 1141, 1151, 1161, 1171, 1182, 1192, 1202, 1212, 1222, 1232, 1242, 1252, 1262, 1272, 1282, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
flappy,biological,1,46d585dcb1cc34e77025541dd855b2d728ee4c42aa9c2e15712caf5ae1907c35,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,efdfc04db9d88c9cc2e29856462301ead918169db3e2c9524e1db575085068dc,af723b8ac4e6e495055e6754b7dce3aed30beb4dc929441294e10a89766b5975,330,173,157,19.55409990472354,0.19502281051392917,0.013161216503074759,0.9554140127388535,0.9554140127388535,"[0, 9, 19, 28, 38, 47, 57, 67, 77, 87, 97, 107, 117, 127, 137, 146, 156, 165, 175, 185, 195, 205, 214, 224, 235, 245, 254, 265, 275, 284, 294, 303, 313, 323, 334, 346, 357, 367, 376, 388, 397, 407, 418, 427, 437, 448, 458, 468, 480, 492, 502, 512, 522, 532, 542, 552, 562, 571, 583, 593, 603, 614, 624, 634, 646, 657, 666, 678, 690, 702, 715, 727, 737, 747, 760, 771, 780, 791, 800, 810, 819, 829, 839, 848, 858, 867, 877, 887, 897, 908, 919, 929, 939, 950, 961, 970, 981, 991, 1001, 1010, 1020, 1030, 1040, 1050, 1059, 1069, 1078, 1089, 1101, 1110, 1121, 1132, 1142, 1151, 1161, 1171, 1180, 1190, 1199, 1209, 1219, 1229, 1240, 1249, 1260, 1270, 1280, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
flappy,rewired,1,c555fbeee9c5a346532f0e76ba152ea6afcea46732a548f3abcc447ffc67852d,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,0701d4bfb8b80771cc64fb2f3981891d7b6a614652d3bee155b9502025ddf138,1b04d6d1aab30605f3f841ee2201cf45d76656c799ad3b7ee35ff737f0356f2b,330,173,157,29.472932492865777,0.16526739023673662,0.01266616190023699,0.9554140127388535,0.9554140127388535,"[0, 10, 21, 31, 41, 51, 61, 71, 82, 92, 102, 112, 122, 132, 142, 152, 162, 172, 182, 192, 202, 212, 222, 232, 243, 253, 264, 274, 284, 295, 305, 315, 325, 335, 345, 356, 366, 376, 386, 396, 406, 416, 426, 436, 446, 456, 466, 477, 487, 497, 507, 518, 528, 538, 548, 558, 568, 578, 588, 598, 608, 618, 628, 638, 648, 658, 668, 679, 689, 700, 710, 720, 730, 740, 750, 761, 771, 782, 792, 802, 812, 822, 832, 842, 852, 862, 873, 883, 893, 903, 913, 923, 934, 944, 954, 964, 974, 984, 994, 1004, 1014, 1025, 1036, 1046, 1056, 1066, 1076, 1086, 1097, 1107, 1118, 1128, 1138, 1148, 1158, 1168, 1179, 1189, 1199, 1209, 1219, 1229, 1239, 1249, 1259, 1269, 1279, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
flappy,biological,2,46d585dcb1cc34e77025541dd855b2d728ee4c42aa9c2e15712caf5ae1907c35,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,efdfc04db9d88c9cc2e29856462301ead918169db3e2c9524e1db575085068dc,af723b8ac4e6e495055e6754b7dce3aed30beb4dc929441294e10a89766b5975,330,173,157,19.55409990472354,0.19502281051392917,0.013161216503074759,0.9554140127388535,0.9554140127388535,"[0, 9, 19, 28, 38, 47, 57, 67, 77, 87, 97, 107, 117, 127, 137, 146, 156, 165, 175, 185, 195, 205, 214, 224, 235, 245, 254, 265, 275, 284, 294, 303, 313, 323, 334, 346, 357, 367, 376, 388, 397, 407, 418, 427, 437, 448, 458, 468, 480, 492, 502, 512, 522, 532, 542, 552, 562, 571, 583, 593, 603, 614, 624, 634, 646, 657, 666, 678, 690, 702, 715, 727, 737, 747, 760, 771, 780, 791, 800, 810, 819, 829, 839, 848, 858, 867, 877, 887, 897, 908, 919, 929, 939, 950, 961, 970, 981, 991, 1001, 1010, 1020, 1030, 1040, 1050, 1059, 1069, 1078, 1089, 1101, 1110, 1121, 1132, 1142, 1151, 1161, 1171, 1180, 1190, 1199, 1209, 1219, 1229, 1240, 1249, 1260, 1270, 1280, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
flappy,rewired,2,c29bfa4b69c0fdd49de8175bc093012c3afecd7dc17436b3d81d72ba48d00255,fc0b5999cbb36f52d94c62bc6cabba75de5b77cbd6dda36a942509050d556dd8,4a53464bdbc0265216232e7ed15b1c56d1b004e2dddbc91b0e1594bc63152ede,708faa6d6ad4c6ef4e3db084ec2049af93e002f5760da1685ab4cb4edf22174b,330,173,157,35.51081793826301,0.1339762948828493,0.013052195032658013,0.9554140127388535,0.9554140127388535,"[0, 10, 20, 31, 41, 51, 61, 71, 81, 91, 101, 111, 121, 131, 141, 151, 161, 171, 181, 191, 201, 211, 221, 231, 241, 251, 261, 271, 281, 291, 301, 311, 321, 331, 341, 351, 361, 371, 381, 391, 401, 411, 421, 432, 442, 452, 462, 472, 482, 492, 502, 512, 522, 532, 542, 552, 562, 572, 582, 592, 602, 612, 622, 632, 643, 653, 663, 674, 684, 694, 704, 714, 724, 734, 744, 755, 765, 775, 785, 796, 807, 818, 828, 839, 850, 861, 871, 881, 891, 901, 912, 922, 932, 942, 952, 962, 973, 983, 993, 1003, 1013, 1025, 1036, 1046, 1057, 1067, 1077, 1087, 1097, 1107, 1117, 1127, 1137, 1148, 1158, 1168, 1178, 1189, 1199, 1209, 1220, 1230, 1240, 1250, 1260, 1270, 1280, 1292]","[105000000, 105000001, 105000002, 105000003, 105000004, 105000005, 105000006, 105000007, 105000008, 105000009, 105000010, 105000011, 105000012, 105000013, 105000014, 105000015, 105000016, 105000017, 105000018, 105000019]"
pong,biological,0,46d585dcb1cc34e77025541dd855b2d728ee4c42aa9c2e15712caf5ae1907c35,a110c65e80352f3d0f288c306b41daaa1a1a3be02b442e0413d8c5d9b6dd9c35,45fba7ed2debc738d7c4b940b621c989fc017e8aa1c1d171ffa8d0ed5db8f585,334cb32a76a8fce2076bad40729978d05f06e0a21d04f90eabb1c425b9cf0395,480,240,240,35.53077910741044,0.13460095920658574,0.01241603446475949,0.44166666666666665,0.37916666666666665,"[0, 9, 19, 28, 38, 47, 57, 66, 77, 86, 97, 106, 117, 126, 136, 145, 155, 164, 174, 185, 194, 204, 213, 223, 234, 244, 253, 264, 273, 283, 292, 302, 311, 321, 332, 344, 354, 365, 375, 386, 396, 405, 415, 425, 435, 446, 456, 465, 477, 489, 500, 509, 520, 529, 539, 550, 559, 569, 580, 590, 600, 612, 621, 632, 643, 655, 664, 676, 687, 700, 711, 722, 733, 744, 755, 767, 777, 788, 798, 807, 817, 826, 836, 845, 857, 866, 876, 885, 896, 906, 918, 929, 939, 950, 961, 971, 981, 992, 1001, 1011, 1020, 1030, 1040, 1050, 1060, 1070, 1079, 1090, 1101, 1111, 1122, 1133, 1143, 1152, 1162, 1171, 1181, 1190, 1200, 1209, 1220, 1229, 1240, 1249, 1260, 1270, 1280, 1292]","[115000000, 115000001, 115000002, 115000003, 115000004, 115000005, 115000006, 115000007, 115000008, 115000009, 115000010, 115000011, 115000012, 115000013, 115000014, 115000015, 115000016, 115000017, 115000018, 115000019]"
pong,rewired,0,344a24cf5708ed2929983a637a5bcf29ea0f49a906b2a363cb664f1e5f376c7d,a110c65e80352f3d0f288c306b41daaa1a1a3be02b442e0413d8c5d9b6dd9c35,f0ea658b1eb6d455dbdf8db7ee40962d9746dcf11a943c7816d9c391c596ecdb,a9438a2d96e62f5222b31a1a4d1199c8cb8c909a7f92a4a50fe1f65f145a7a15,480,240,240,57.80229967474229,0.11443084723937703,0.012064188738976432,0.425,0.37916666666666665,"[0, 9, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 259, 269, 280, 290, 301, 311, 321, 331, 342, 352, 362, 372, 382, 392, 402, 412, 423, 433, 443, 454, 464, 475, 486, 496, 506, 515, 525, 536, 546, 556, 566, 576, 586, 596, 606, 617, 627, 637, 648, 659, 669, 679, 689, 699, 709, 720, 730, 740, 751, 761, 771, 780, 791, 801, 811, 821, 831, 841, 851, 862, 872, 883, 893, 905, 915, 925, 936, 947, 957, 969, 979, 989, 999, 1011, 1021, 1031, 1040, 1050, 1060, 1070, 1080, 1091, 1101, 1111, 1121, 1131, 1141, 1151, 1161, 1171, 1182, 1192, 1202, 1212, 1222, 1232, 1242, 1252, 1262, 1272, 1282, 1292]","[115000000, 115000001, 115000002, 115000003, 115000004, 115000005, 115000006, 115000007, 115000008, 115000009, 115000010, 115000011, 115000012, 115000013, 115000014, 115000015, 115000016, 115000017, 115000018, 115000019]"
pong,biological,1,46d585dcb1cc34e77025541dd855b2d728ee4c42aa9c2e15712caf5ae1907c35,a110c65e80352f3d0f288c306b41daaa1a1a3be02b442e0413d8c5d9b6dd9c35,45fba7ed2debc738d7c4b940b621c989fc017e8aa1c1d171ffa8d0ed5db8f585,334cb32a76a8fce2076bad40729978d05f06e0a21d04f90eabb1c425b9cf0395,480,240,240,35.53077910741044,0.13460095920658574,0.01241603446475949,0.44166666666666665,0.37916666666666665,"[0, 9, 19, 28, 38, 47, 57, 66, 77, 86, 97, 106, 117, 126, 136, 145, 155, 164, 174, 185, 194, 204, 213, 223, 234, 244, 253, 264, 273, 283, 292, 302, 311, 321, 332, 344, 354, 365, 375, 386, 396, 405, 415, 425, 435, 446, 456, 465, 477, 489, 500, 509, 520, 529, 539, 550, 559, 569, 580, 590, 600, 612, 621, 632, 643, 655, 664, 676, 687, 700, 711, 722, 733, 744, 755, 767, 777, 788, 798, 807, 817, 826, 836, 845, 857, 866, 876, 885, 896, 906, 918, 929, 939, 950, 961, 971, 981, 992, 1001, 1011, 1020, 1030, 1040, 1050, 1060, 1070, 1079, 1090, 1101, 1111, 1122, 1133, 1143, 1152, 1162, 1171, 1181, 1190, 1200, 1209, 1220, 1229, 1240, 1249, 1260, 1270, 1280, 1292]","[115000000, 115000001, 115000002, 115000003, 115000004, 115000005, 115000006, 115000007, 115000008, 115000009, 115000010, 115000011, 115000012, 115000013, 115000014, 115000015, 115000016, 115000017, 115000018, 115000019]"
pong,rewired,1,c555fbeee9c5a346532f0e76ba152ea6afcea46732a548f3abcc447ffc67852d,a110c65e80352f3d0f288c306b41daaa1a1a3be02b442e0413d8c5d9b6dd9c35,292c595e30490735b99956f70daebff1f7bcd42a55077167f7813a8102e76e95,e964250df46daab814f89bdeb4098f57c5dc6f187de15b4d29ad5cd9193d041f,480,240,240,67.73448667228509,0.10159780359694111,0.012324336236250748,0.5291666666666667,0.37916666666666665,"[0, 9, 19, 29, 39, 49, 59, 69, 80, 90, 100, 109, 119, 129, 140, 150, 160, 171, 181, 191, 201, 211, 220, 231, 242, 253, 264, 274, 285, 296, 306, 316, 325, 335, 345, 356, 366, 376, 386, 396, 406, 416, 426, 435, 445, 455, 465, 476, 486, 496, 506, 516, 526, 535, 545, 556, 566, 576, 586, 598, 608, 618, 628, 639, 648, 658, 668, 679, 689, 700, 710, 720, 730, 740, 750, 761, 771, 782, 792, 802, 812, 822, 832, 842, 852, 861, 871, 881, 892, 902, 912, 922, 933, 944, 954, 964, 973, 983, 993, 1003, 1013, 1024, 1034, 1044, 1054, 1064, 1075, 1086, 1097, 1107, 1118, 1128, 1138, 1148, 1158, 1168, 1178, 1187, 1197, 1207, 1217, 1228, 1238, 1249, 1259, 1269, 1279, 1292]","[115000000, 115000001, 115000002, 115000003, 115000004, 115000005, 115000006, 115000007, 115000008, 115000009, 115000010, 115000011, 115000012, 115000013, 115000014, 115000015, 115000016, 115000017, 115000018, 115000019]"
