task,condition,seed,phase,episode,success,obstacles_passed,steps,death,return,action_entropy,state_dependence,state_dependence_definition,action_counts,returns,attempted_returns,bricks_destroyed,interceptions,misses,completion,food,length
flappy,biological,0,before,0,0.0,0,10,boundary,-0.917252174654333,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,1,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,2,0.0,0,10,boundary,-0.9166415961759883,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,3,0.0,0,10,boundary,-0.9110458454359117,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,4,0.0,0,10,boundary,-0.9103102302484007,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,5,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,6,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,7,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,8,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,9,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,10,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,11,0.0,0,10,boundary,-0.9081091566532967,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,12,0.0,0,10,boundary,-0.9096256745348777,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,13,0.0,0,10,boundary,-0.9177641075026476,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,14,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,15,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,16,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,17,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,18,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,19,0.0,0,10,boundary,-0.9098394078203874,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,20,0.0,0,10,boundary,-0.9128752879356089,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,21,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,22,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,23,0.0,0,10,boundary,-0.9159832935034167,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,24,0.0,0,10,boundary,-0.9125386181309073,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,25,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,26,0.0,0,10,boundary,-0.9154853164384377,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,27,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,28,0.0,0,10,boundary,-0.9180515550948627,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,29,0.0,0,10,boundary,-0.9089198576775951,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,30,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,31,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,32,0.0,0,10,boundary,-0.9156812587481591,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,33,0.0,0,10,boundary,-0.9161312293954139,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,34,0.0,0,10,boundary,-0.9116104114623933,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,35,0.0,0,10,boundary,-0.9119751161924059,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,36,0.0,0,10,boundary,-0.9085200071867825,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,37,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,38,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,before,39,0.0,0,10,boundary,-0.91808,-1.110223024625156e-15,0.0,"action-diversity proxy, not a causal state-dependence test","[10, 0]",,,,,,,,
flappy,biological,0,after,0,0.0,0,23,boundary,-0.787372174654333,0.38721237518635865,0.13043478260869568,"action-diversity proxy, not a causal state-dependence test","[20, 3]",,,,,,,,
flappy,biological,0,after,1,0.0,0,22,boundary,-0.7993,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,2,0.0,0,23,boundary,-0.7867615961759883,0.38721237518635865,0.13043478260869568,"action-diversity proxy, not a causal state-dependence test","[20, 3]",,,,,,,,
flappy,biological,0,after,3,0.0,0,22,boundary,-0.7922658454359117,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,4,0.0,0,22,boundary,-0.7915302302484007,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,5,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,6,0.0,0,23,boundary,-0.78838,0.2954391918721141,0.08695652173913049,"action-diversity proxy, not a causal state-dependence test","[21, 2]",,,,,,,,
flappy,biological,0,after,7,0.0,0,23,boundary,-0.7883800000000001,0.2954391918721141,0.08695652173913049,"action-diversity proxy, not a causal state-dependence test","[21, 2]",,,,,,,,
flappy,biological,0,after,8,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,9,0.0,0,22,boundary,-0.7993,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,10,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,11,0.0,0,20,boundary,-0.8088291566532967,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,12,0.0,0,20,boundary,-0.8103456745348777,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,13,0.0,0,22,boundary,-0.7989841075026476,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,14,0.0,0,23,boundary,-0.7883800000000001,0.2954391918721141,0.08695652173913049,"action-diversity proxy, not a causal state-dependence test","[21, 2]",,,,,,,,
flappy,biological,0,after,15,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,16,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,17,0.0,0,23,boundary,-0.7883800000000001,0.2954391918721141,0.08695652173913049,"action-diversity proxy, not a causal state-dependence test","[21, 2]",,,,,,,,
flappy,biological,0,after,18,0.0,0,22,boundary,-0.7993,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,19,0.0,0,20,boundary,-0.8105594078203875,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,20,0.0,0,20,boundary,-0.8135952879356089,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,21,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,22,0.0,0,22,boundary,-0.7993,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,23,0.0,0,22,boundary,-0.7972032935034167,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,24,0.0,0,23,boundary,-0.7828386181309073,0.2954391918721141,0.08695652173913049,"action-diversity proxy, not a causal state-dependence test","[21, 2]",,,,,,,,
flappy,biological,0,after,25,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,26,0.0,0,22,boundary,-0.7967053164384377,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
flappy,biological,0,after,27,0.0,0,20,boundary,-0.8188,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,28,0.0,0,20,boundary,-0.8187715550948627,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,29,0.0,0,20,boundary,-0.8096398576775952,0.19851524334587062,0.050000000000000044,"action-diversity proxy, not a causal state-dependence test","[19, 1]",,,,,,,,
flappy,biological,0,after,30,0.0,0,22,boundary,-0.7993,0.30463609734923613,0.09090909090909094,"action-diversity proxy, not a causal state-dependence test","[20, 2]",,,,,,,,
