task,learner,mean,sd,variance,seed_values,eligible,utility
catch,gru,0.2125,0.02453266907313289,0.0006018518518518509,"[0.20416666666666666, 0.1875, 0.2458333333333333]",False,0.20636683273171677
catch,linear,0.7277777777777777,0.01873713550448897,0.00035108024691358114,"[0.7291666666666666, 0.7041666666666666, 0.75]",True,0.7230934939016554
catch,mlp,0.20277777777777775,0.003928371006591923,1.5432098765432038e-05,"[0.2, 0.20833333333333331, 0.19999999999999998]",False,0.20179568502612977
dodge,gru,0.7805555555555556,0.01993430568667687,0.00039737654320987786,"[0.7625, 0.8083333333333333, 0.7708333333333333]",False,0.7755719791338863
dodge,linear,0.9416666666666668,0.012266334536566424,0.00015046296296296222,"[0.9583333333333334, 0.9375, 0.9291666666666668]",True,0.9386000830325252
dodge,mlp,0.8083333333333332,0.039234574699515405,0.0015393518518518542,"[0.8625, 0.7916666666666667, 0.7708333333333333]",False,0.7985246896584544
flappy,gru,0.19583333333333333,0.048232653761625964,0.0023263888888888913,"[0.12916666666666665, 0.2166666666666667, 0.2416666666666667]",True,0.18377516989292683
flappy,linear,0.002777777777777778,0.00392837100659193,1.5432098765432092e-05,"[0.0, 0.008333333333333333, 0.0]",True,0.0017956850261297954
flappy,mlp,0.016666666666666666,0.005892556509887896,3.472222222222222e-05,"[0.0125, 0.025, 0.0125]",False,0.015193527539194692
pong,gru,0.30462962962962964,0.012491423669659305,0.00015603566529492473,"[0.2972222222222222, 0.32222222222222224, 0.29444444444444445]",False,0.3015067737122148
pong,linear,0.5444444444444444,0.026156383133010257,0.0006841563786008234,"[0.5333333333333333, 0.5805555555555556, 0.5194444444444445]",True,0.5379053486611919
pong,mlp,0.38425925925925924,0.0688430751683004,0.00473936899862826,"[0.3083333333333333, 0.475, 0.36944444444444435]",True,0.36704849046718413
snake,gru,0.9166666666666666,0.3229637062512684,0.1043055555555556,"[0.575, 1.35, 0.825]",True,0.8359257401038496
snake,linear,1.1333333333333333,0.26640612271909636,0.07097222222222223,"[0.875, 1.5, 1.025]",True,1.0667318026535593
snake,mlp,0.6416666666666667,0.07168604389202186,0.0051388888888888856,"[0.725, 0.65, 0.55]",True,0.6237451556936613
