task,contrast,seed_values,mean,sd,descriptive_95
catch,mlp-minus-linear,"[-0.5291666666666666, -0.4958333333333333, -0.55]",-0.525,0.022308858894734763,"[-0.55, -0.4958333333333333]"
catch,gru-minus-linear,"[-0.5249999999999999, -0.5166666666666666, -0.5041666666666667]",-0.5152777777777777,0.00856168611523466,"[-0.5249999999999999, -0.5041666666666667]"
dodge,mlp-minus-linear,"[-0.09583333333333333, -0.14583333333333326, -0.15833333333333355]",-0.1333333333333334,0.027003086243366142,"[-0.15833333333333355, -0.09583333333333333]"
dodge,gru-minus-linear,"[-0.19583333333333341, -0.12916666666666665, -0.15833333333333355]",-0.1611111111111112,0.027287337089428505,"[-0.19583333333333341, -0.12916666666666665]"
snake,mlp-minus-linear,"[-0.15000000000000002, -0.85, -0.47499999999999987]",-0.49166666666666664,0.2860167050288419,"[-0.85, -0.15000000000000002]"
snake,gru-minus-linear,"[-0.30000000000000004, -0.1499999999999999, -0.19999999999999996]",-0.21666666666666665,0.062360956446232414,"[-0.30000000000000004, -0.1499999999999999]"
pong,mlp-minus-linear,"[-0.22500000000000003, -0.10555555555555562, -0.15000000000000013]",-0.16018518518518526,0.04929196908965244,"[-0.225, -0.10555555555555562]"
pong,gru-minus-linear,"[-0.2361111111111111, -0.25833333333333336, -0.22500000000000003]",-0.23981481481481484,0.01385799032138497,"[-0.25833333333333336, -0.225]"
flappy,mlp-minus-linear,"[0.0125, 0.01666666666666667, 0.0125]",0.01388888888888889,0.0019641855032959668,"[0.012500000000000002, 0.01666666666666667]"
flappy,gru-minus-linear,"[0.12916666666666665, 0.20833333333333337, 0.2416666666666667]",0.19305555555555556,0.0471813548651751,"[0.12916666666666665, 0.2416666666666667]"
