task,phase,learner,seed,hidden,second_hidden_or_gru,gru_size,optimizer,learning_rate,lr_schedule,gamma,gae_lambda,ppo_clip,entropy_coefficient,value_coefficient,ppo_epochs,minibatch_count,parallel_envs,ticks,readout,training_transitions,imitation_transitions,score,state_dependence,action_distribution,policy_entropy,finite,wall_seconds,peak_memory_mb,checkpoint,checkpoint_sha256,result_sha256,failure_reason,last_update
catch,primary,gru,0,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.20416666666666666,0.025000000000000022,"[0.934375, 0.0, 0.065625]",0.9768329115698379,True,16.564801330736373,232.75,runs/v14/catch-primary-gru-s0/checkpoint.pkl,1e3a2e827c9bfd76293b15b2180aff3e82523a4276ab1326a7b13cc531529f41,c0fd3978f811b166f7446ede9952b8864a1520516cd3cbbf1c4e808ceb3abf76,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 16.564801330736373, ""transitions_per_second"": 3988.610320913055, ""train_success"": 0.22166666666666668, ""train_return"": -3.3609999999999998, ""rollout_action_fractions"": [1031, 244, 773], ""loss"": 0.45209681363151805, ""policy_loss"": -0.00013896950483389264, ""value_loss"": 0.9103192910107207, ""entropy"": 0.9746207896694818, ""approx_kl"": 6.115167276976279e-06, ""clip_fraction"": 0.0, ""grad_norm"": 1.1402510060274667, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,gru,1,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.1875,0.0,"[0.0, 1.0, 0.0]",0.8152259036223463,True,16.54516449890798,234.921875,runs/v14/catch-primary-gru-s1/checkpoint.pkl,199a80e05b27c1829810d920012db56ee1e16b1085a15da277204896101138b5,918ab7f0db435bfeff6768558e23aa3065fbfb11cb44465b89d6de9d510ad2b9,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 16.54516449890798, ""transitions_per_second"": 3970.1768224825682, ""train_success"": 0.22, ""train_return"": -3.375, ""rollout_action_fractions"": [228, 1420, 400], ""loss"": 0.4577280341332782, ""policy_loss"": -0.00017693199412206415, ""value_loss"": 0.9206769592256384, ""entropy"": 0.8111711618063215, ""approx_kl"": 4.816014718453664e-06, ""clip_fraction"": 0.0, ""grad_norm"": 0.9205385720784854, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,gru,2,128,64,64,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.2458333333333333,0.0,"[0.041666666666666664, 0.0, 0.9583333333333334]",1.066434526361496,True,16.7459875838249,247.15625,runs/v14/catch-primary-gru-s2/checkpoint.pkl,1b6734417620bf8463aa2cab8c72cdb61d046070e91d63bf49377cbdbde3b226,bf7bb658128607df84aae5afc81748e69e2df849c8fcdc009186a20f336f9911,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 16.7459875838249, ""transitions_per_second"": 3980.0353651646087, ""train_success"": 0.20666666666666667, ""train_return"": -3.5710000000000006, ""rollout_action_fractions"": [500, 661, 887], ""loss"": 0.4748544138311016, ""policy_loss"": -0.00019851062501403255, ""value_loss"": 0.9564967242349636, ""entropy"": 1.0651458871220396, ""approx_kl"": 3.310925644140278e-05, ""clip_fraction"": 0.0, ""grad_norm"": 1.5822361928027395, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,linear,0,0,0,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.7291666666666666,0.275,"[0.2916666666666667, 0.4197916666666667, 0.28854166666666664]",0.8227003126002412,True,13.139494629111141,191.0,runs/v14/catch-primary-linear-s0/checkpoint.pkl,eb06b373b461aa6be076d7569d153c8316095bff8ba387c2507e2c4cfab5da9a,8a1604919edfbd4729a44bfe69a557a0be279b0bcb5fac4607a9c324fced9c9a,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 13.139494629111141, ""transitions_per_second"": 5015.885884032081, ""train_success"": 0.42500000000000004, ""train_return"": -0.5219999999999999, ""rollout_action_fractions"": [686, 674, 688], ""loss"": 0.5147823239747755, ""policy_loss"": -0.0014710919471499478, ""value_loss"": 1.0375260957840378, ""entropy"": 0.8365439900311427, ""approx_kl"": 9.300078990944649e-06, ""clip_fraction"": 0.0, ""grad_norm"": 2.137182426472641, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,linear,1,0,0,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.7041666666666666,0.5,"[0.28541666666666665, 0.4322916666666667, 0.28229166666666666]",0.842262893223252,True,13.181887830316555,189.625,runs/v14/catch-primary-linear-s1/checkpoint.pkl,618d054cdf2ee7bd7e1ef2f305aeb82314f9d08a4b7d558005a2b29a4e335119,0d50227a6d0b1ed177649ac870bb78bbfa95b6a465b7da7b39bbfd68be9dde28,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 13.181887830316555, ""transitions_per_second"": 4994.086592031428, ""train_success"": 0.4033333333333334, ""train_return"": -0.8349999999999997, ""rollout_action_fractions"": [682, 690, 676], ""loss"": 0.46543661437082195, ""policy_loss"": -0.0016575230959783218, ""value_loss"": 0.939279257997181, ""entropy"": 0.8484971772634159, ""approx_kl"": 2.0302122000133662e-05, ""clip_fraction"": 0.0, ""grad_norm"": 2.0695691330589367, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,linear,2,0,0,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.75,0.35,"[0.26979166666666665, 0.4583333333333333, 0.271875]",0.8490013864754171,True,13.16454679198796,195.375,runs/v14/catch-primary-linear-s2/checkpoint.pkl,055bdab604dd7d95a8128006d566a09f0c87a6cc862ebab442ff839567a9ccda,407130cbe9d0c33c8ff53dbca045f79ac51c6998b39751144d2f27bd448dc60f,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 13.16454679198796, ""transitions_per_second"": 5023.5997456129335, ""train_success"": 0.43666666666666665, ""train_return"": -0.4170000000000001, ""rollout_action_fractions"": [720, 653, 675], ""loss"": 0.5195824705583503, ""policy_loss"": -0.001494605817350384, ""value_loss"": 1.047260725763949, ""entropy"": 0.8510955020912334, ""approx_kl"": 3.188578316592528e-05, ""clip_fraction"": 0.0, ""grad_norm"": 2.1240438907691646, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,mlp,0,128,64,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.2,0.0,"[0.9958333333333333, 0.0, 0.004166666666666667]",1.0949694009837552,True,15.160395249957219,223.890625,runs/v14/catch-primary-mlp-s0/checkpoint.pkl,0c0d34dbee9eb05412c9b3cd091de94db6d0ff50c1bc667797111af89fed6f65,55753abc45c2991d2053466da929b6f1ff5e086a852b460736e0ce7948589c14,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 15.160395249957219, ""transitions_per_second"": 4350.688199242117, ""train_success"": 0.19833333333333336, ""train_return"": -3.6779999999999995, ""rollout_action_fractions"": [760, 630, 658], ""loss"": 0.5635652256539871, ""policy_loss"": -7.760546009337455e-06, ""value_loss"": 1.1337147099989053, ""entropy"": 1.094789599818715, ""approx_kl"": 5.301470519733656e-07, ""clip_fraction"": 0.0, ""grad_norm"": 2.1679988956852547, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,mlp,1,128,64,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.20833333333333331,0.0,"[0.041666666666666664, 0.9583333333333334, 0.0]",1.0718213090831903,True,15.21150275011314,223.421875,runs/v14/catch-primary-mlp-s1/checkpoint.pkl,62e6c0b9fc8f4a19b837d70b33288849e773d614ad2b83ccbbf6ded7358ac2f4,fce72a9d19adf60d975d6d16196fb609009ed83621eadf2f9bde8f88e5c8168f,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 15.21150275011314, ""transitions_per_second"": 4341.580787834052, ""train_success"": 0.19833333333333336, ""train_return"": -3.678, ""rollout_action_fractions"": [678, 885, 485], ""loss"": 0.5187925181123353, ""policy_loss"": -4.0454609899093566e-05, ""value_loss"": 1.0440958065126003, ""entropy"": 1.0716435113552132, ""approx_kl"": 4.877870521687769e-07, ""clip_fraction"": 0.0, ""grad_norm"": 2.1850113407276206, ""minibatch_updates"": 32, ""finite"": true}"
catch,primary,mlp,2,128,64,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,4,descending,65536,0,0.19999999999999998,0.19999999999999996,"[0.9770833333333333, 0.0, 0.022916666666666665]",1.086122230048566,True,15.174745210912079,217.4375,runs/v14/catch-primary-mlp-s2/checkpoint.pkl,7edb81ef36e446df70a6b5a6732c047c8d7ce818340eab5ef1169df46a6cca1d,6fdaabd4e79ee8cc26b39af2365d2b590c035a5da337bcf862a486086401c77e,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 15.174745210912079, ""transitions_per_second"": 4353.390976815192, ""train_success"": 0.19166666666666665, ""train_return"": -3.7479999999999993, ""rollout_action_fractions"": [857, 514, 677], ""loss"": 0.605506435894006, ""policy_loss"": -0.00012096698619473364, ""value_loss"": 1.2177750766045252, ""entropy"": 1.0867118073539683, ""approx_kl"": 1.1947562477375695e-05, ""clip_fraction"": 0.0, ""grad_norm"": 2.2321512007835844, ""minibatch_updates"": 32, ""finite"": true}"
catch,ticks,linear,0,0,0,0,Adam,0.0003,linear decay to 5 percent floor,0.99,0.95,0.2,0.003,0.5,4,8,16,8,descending,65536,0,0.9375,0.32499999999999996,"[0.21979166666666666, 0.5541666666666667, 0.22604166666666667]",0.47156193848650807,True,26.132738623127807,189.25,runs/v14/catch-ticks-linear-s0/checkpoint.pkl,03fac54bb63c6bba21b67d4a1b0bd18cd93f938954c7685588f3aa85184fbff9,3078d7a6786abba3fc9cb79c06e119dcd820dd6f107f0d3a00a4b8cf30f621e3,,"{""update"": 32, ""transitions"": 65536, ""episodes"": 2720, ""level"": ""target"", ""lr"": 1.4999999999999999e-05, ""wall_seconds"": 26.132738623127807, ""transitions_per_second"": 2434.834177713637, ""train_success"": 0.7166666666666666, ""train_return"": 3.275, ""rollout_action_fractions"": [594, 870, 584], ""loss"": 0.6682053709855327, ""policy_loss"": -0.0013531452749980365, ""value_loss"": 1.3421746062117892, ""entropy"": 0.5095956151212612, ""approx_kl"": 8.665496328540954e-06, ""clip_fraction"": 0.0, ""grad_norm"": 2.174980454566814, ""minibatch_updates"": 32, ""finite"": true}"
