task,factor,configuration,parent,eligible,mean,matched_budget,effect
catch,ticks,catch-ticks-linear,catch-primary-linear,True,0.9527777777777778,True,"{""seed_values"": [0.20833333333333337, 0.2666666666666666, 0.19999999999999996], ""mean"": 0.22499999999999998, ""sd"": 0.029658550700086952, ""descriptive_95"": [0.19999999999999996, 0.2666666666666666]}"
dodge,ticks,dodge-ticks-linear,dodge-primary-linear,True,0.9180555555555557,True,"{""seed_values"": [0.008333333333333415, -0.04166666666666663, -0.03749999999999998], ""mean"": -0.023611111111111065, ""sd"": 0.022652092264305708, ""descriptive_95"": [-0.04166666666666663, 0.008333333333333415]}"
snake,ticks,snake-ticks-linear,snake-primary-linear,True,3.316666666666667,True,"{""seed_values"": [2.575, 1.85, 2.125], ""mean"": 2.1833333333333336, ""sd"": 0.29884035128401853, ""descriptive_95"": [1.8500000000000003, 2.575]}"
snake,all_readout,snake-all_readout-linear,snake-ticks-linear,True,11.575000000000001,True,"{""seed_values"": [7.999999999999999, 7.800000000000001, 8.975], ""mean"": 8.258333333333333, ""sd"": 0.5132954531478162, ""descriptive_95"": [7.800000000000001, 8.975]}"
pong,ticks,pong-ticks-linear,pong-primary-linear,True,0.6490740740740741,True,"{""seed_values"": [0.1527777777777778, 0.05833333333333335, 0.10277777777777763], ""mean"": 0.10462962962962959, ""sd"": 0.03857901232592529, ""descriptive_95"": [0.05833333333333335, 0.1527777777777778]}"
pong,all_readout,pong-all_readout-linear,pong-ticks-linear,True,0.8666666666666666,True,"{""seed_values"": [0.21111111111111103, 0.18055555555555536, 0.26111111111111107], ""mean"": 0.21759259259259248, ""sd"": 0.03320448347600211, ""descriptive_95"": [0.18055555555555536, 0.26111111111111107]}"
pong,longer,pong-longer-linear,pong-all_readout-linear,True,0.9388888888888888,False,"{""seed_values"": [0.03888888888888897, 0.12222222222222234, 0.05555555555555569], ""mean"": 0.07222222222222234, ""sd"": 0.036004114991154794, ""descriptive_95"": [0.03888888888888897, 0.12222222222222234]}"
flappy,ticks,flappy-ticks-gru,flappy-primary-gru,False,0.13472222222222222,True,"{""seed_values"": [0.08333333333333334, -0.2041666666666667, -0.06250000000000006], ""mean"": -0.06111111111111114, ""sd"": 0.11737549221553667, ""descriptive_95"": [-0.2041666666666667, 0.08333333333333333]}"
flappy,all_readout,flappy-all_readout-gru,flappy-primary-gru,False,0.25555555555555554,True,"{""seed_values"": [0.23749999999999993, -0.01666666666666669, -0.041666666666666685], ""mean"": 0.059722222222222184, ""sd"": 0.12612151205273878, ""descriptive_95"": [-0.041666666666666685, 0.23749999999999993]}"
flappy,longer,flappy-longer-gru,flappy-primary-gru,True,0.35694444444444445,False,"{""seed_values"": [0.18749999999999994, 0.10833333333333331, 0.1875], ""mean"": 0.1611111111111111, ""sd"": 0.03731952456262334, ""descriptive_95"": [0.10833333333333332, 0.1875]}"
flappy,curriculum,flappy-curriculum-gru,flappy-longer-gru,True,0.28750000000000003,True,"{""seed_values"": [0.004166666666666707, -0.04583333333333334, -0.16666666666666669], ""mean"": -0.06944444444444443, ""sd"": 0.07171294801903105, ""descriptive_95"": [-0.16666666666666666, 0.004166666666666707]}"
flappy,rescue,flappy-rescue-gru,flappy-longer-gru,True,0.2986111111111111,True,"{""seed_values"": [-0.08333333333333329, -0.06666666666666665, -0.025000000000000078], ""mean"": -0.05833333333333334, ""sd"": 0.024532669073132857, ""descriptive_95"": [-0.08333333333333329, -0.025000000000000078]}"
