run,task,phase,arch,ticks,readout,transitions,dev_score,state_probe,greedy_dominant_action,entropy_first_quarter,entropy_last_quarter,value_loss_first_quarter,value_loss_last_quarter,clip_fraction_last_quarter,approx_kl_last_quarter,grad_norm_first_quarter,grad_norm_last_quarter,train_success_last_quarter,rollout_dominant_action_last_quarter,curve,curve_peak,curve_final,late_drop,still_rising,wall_seconds,transitions_per_second
catch-primary-gru-s0,catch,primary,gru,4,descending,65536,0.20416666666666666,0.025000000000000022,0.934375,1.0623644534047048,0.9652270263774168,0.7795276687026322,0.8538900450807752,0.0,4.544625978200821e-05,1.0065207507694898,1.2825491373708586,0.20604166666666668,0.51641845703125,"[0.125, 0.125, 0.125, 0.125]",0.125,0.125,0.0,True,16.564801330736373,3956.340839319119
catch-primary-gru-s1,catch,primary,gru,4,descending,65536,0.1875,0.0,1.0,1.061224066785286,0.8093733007708386,0.8266895028870958,0.9360757067316139,0.0,1.9273317298912974e-05,1.0623450363097702,1.330167624157606,0.201875,0.69342041015625,"[0.14583333333333331, 0.14583333333333331, 0.14583333333333331, 0.14583333333333331]",0.14583333333333331,0.14583333333333331,0.0,True,16.54516449890798,3961.0364710683616
catch-primary-gru-s2,catch,primary,gru,4,descending,65536,0.2458333333333333,0.0,0.9583333333333334,1.0823200842867187,1.0553537679789757,0.7906809213071518,0.9413359186239882,0.0,7.171973619267869e-05,1.0164307443913971,1.6678259267816078,0.195,0.44732666015625,"[0.15625, 0.29166666666666663, 0.125, 0.125]",0.29166666666666663,0.125,0.16666666666666663,False,16.7459875838249,3913.5344912892338
catch-primary-linear-s0,catch,primary,linear,4,descending,65536,0.7291666666666666,0.275,0.4197916666666667,1.0567851206945764,0.8401782879678904,1.7445573099691503,1.013629984425457,0.0008697509765625,0.0001247315171712185,2.6995273124742356,2.1010157094468043,0.44062500000000004,0.34197998046875,"[0.6041666666666666, 0.75, 0.8020833333333334, 0.8229166666666667]",0.8229166666666667,0.8229166666666667,0.0,True,13.139494629111141,4987.710855697756
catch-primary-linear-s1,catch,primary,linear,4,descending,65536,0.7041666666666666,0.5,0.4322916666666667,1.0636911802365252,0.8529337159316672,1.6986810037197486,0.970498913485659,0.00146484375,0.0001799234942374085,2.710618860891702,2.0895893260647305,0.41125,0.34326171875,"[0.53125, 0.6145833333333333, 0.7916666666666667, 0.78125]",0.7916666666666667,0.78125,0.01041666666666674,False,13.181887830316555,4971.670283013339
catch-primary-linear-s2,catch,primary,linear,4,descending,65536,0.75,0.35,0.4583333333333333,1.0631899806394949,0.8627995145676484,1.6551832318880009,1.012576634471138,0.0016326904296875,0.0001857832824631429,2.637415210866009,2.1327572807197424,0.4345833333333333,0.3460693359375,"[0.4583333333333333, 0.6979166666666667, 0.71875, 0.7708333333333333]",0.7708333333333333,0.7708333333333333,0.0,True,13.16454679198796,4978.219230447469
catch-primary-mlp-s0,catch,primary,mlp,4,descending,65536,0.2,0.0,0.9958333333333333,1.0954915519109916,1.0946999186477626,1.3443286023362522,1.1843724238464124,0.0,3.33764688611772e-05,1.400994221307322,2.070058692927126,0.20666666666666667,0.3668212890625,"[0.23958333333333331, 0.20833333333333331, 0.125, 0.125]",0.23958333333333331,0.125,0.11458333333333331,False,15.160395249957219,4322.842440416251
catch-primary-mlp-s1,catch,primary,mlp,4,descending,65536,0.20833333333333331,0.0,0.9583333333333334,1.0973917106173716,1.0756460181062175,1.263242818902687,1.1620168767743426,0.0,5.231730382685652e-05,1.3665115588411199,2.1575837929872117,0.20500000000000002,0.4195556640625,"[0.29166666666666663, 0.17708333333333331, 0.24999999999999997, 0.24999999999999997]",0.29166666666666663,0.24999999999999997,0.04166666666666666,False,15.21150275011314,4308.318584731055
catch-primary-mlp-s2,catch,primary,mlp,4,descending,65536,0.19999999999999998,0.19999999999999996,0.9770833333333333,1.0968712247928223,1.085451204001391,1.353776820112064,1.2883370352972356,0.0,0.0001105535976751698,1.4073587311307436,2.2565693288142996,0.20604166666666668,0.4002685546875,"[0.25, 0.23958333333333331, 0.23958333333333331, 0.25]",0.25,0.25,0.0,True,15.174745210912079,4318.754554961055
catch-ticks-linear-s0,catch,ticks,linear,8,descending,65536,0.9375,0.32499999999999996,0.5541666666666667,1.0327265357974857,0.5260525588965989,1.6691707427527978,1.4257127365735593,0.000457763671875,9.865090035177682e-05,2.6167264092152633,2.2367024331204943,0.734375,0.42181396484375,"[0.8645833333333334, 0.9791666666666667, 0.9791666666666667, 0.9791666666666667]",0.9791666666666667,0.9791666666666667,0.0,True,26.132738623127807,2507.8121717407685
catch-ticks-linear-s1,catch,ticks,linear,8,descending,65536,0.9708333333333332,0.5,0.5197916666666667,1.0333454140043055,0.5309298956319918,1.549984258356981,1.3940292768482503,0.001068115234375,0.0001250829177862929,2.6126889340124926,2.240543604589998,0.7150000000000001,0.404541015625,"[0.8229166666666667, 0.9166666666666666, 0.9166666666666667, 0.9375]",0.9375,0.9375,0.0,True,26.3247212509159,2489.523037123132
